"model_name","net_weights","error_value","checksum","repo_release_tag","model_caption","arxiv_paper","test_dataset","img_size","img_scale","test_batch","remark"
"alexnet",62378344,1664,"2768cdb312d584e33e93f31b0c569589bb289749","v0.0.481","AlexNet","1404.5997","in1k",224,0.875,200,NA
"alexnetb",61100840,1747,"ac887bf7eada4179857d243584ac30b4d74a6493","v0.0.485","AlexNet-b","1404.5997","in1k",224,0.875,200,NA
"zfnet",62357608,1727,"d010ddca1eb32a50a8cceb475c792f53e769b631","v0.0.395","ZFNet","1311.2901","in1k",224,0.875,200,NA
"zfnetb",107627624,1490,"f6bec24eba037c8e4956704ed5bafaed29966601","v0.0.400","ZFNet-b","1311.2901","in1k",224,0.875,200,NA
"vgg11",132863336,1036,"71e85f6ef76f56e3e89d597d2fc461496ed281e9","v0.0.381","VGG-11","1409.1556","in1k",224,0.875,200,NA
"vgg13",133047848,0975,"2b2c8770a7610d9dcd444ec8ae992681e270eb42","v0.0.388","VGG-13","1409.1556","in1k",224,0.875,200,NA
"vgg16",138357544,0865,"5ca155da3dc6687e070ff34815cb5aabd0bed4b9","v0.0.401","VGG-16","1409.1556","in1k",224,0.875,200,NA
"vgg19",143667240,0790,"9bd923a82ece9f038e944d7666f1c11b478dc7e6","v0.0.420","VGG-19","1409.1556","in1k",224,0.875,200,NA
"bn_vgg11",132866088,0961,"10f01fba064ec168df074b98d59ae7b82b1207d4","v0.0.339","BN-VGG-11","1409.1556","in1k",224,0.875,200,NA
"bn_vgg13",133050792,0913,"b1acd7158e6e9973ce9e274c65ceb64a244f9967","v0.0.353","BN-VGG-13","1409.1556","in1k",224,0.875,200,NA
"bn_vgg16",138361768,0779,"0f570b928b180f909fa39df3924f89c746816722","v0.0.359","BN-VGG-16","1409.1556","in1k",224,0.875,200,NA
"bn_vgg19",143672744,0712,"3f286cbd2a57abb4c516425c5e095c2cfc8d54e3","v0.0.360","BN-VGG-19","1409.1556","in1k",224,0.875,200,NA
"bn_vgg11b",132868840,0996,"ef747edc87705e1ed500a31c80199273b2fbd5fa","v0.0.407","BN-VGG-11b","1409.1556","in1k",224,0.875,200,NA
"bn_vgg13b",133053736,0924,"5f313c535fc47c3ad6bd2f741f453dbcf8191be6","v0.0.488","BN-VGG-13b","1409.1556","in1k",224,0.875,200,NA
"bn_vgg16b",138365992,0795,"bfff365ac38a763aaed4b4d9bdc7b2cdbe6c8e9f","v0.0.489","BN-VGG-16b","1409.1556","in1k",224,0.875,200,NA
"bn_vgg19b",143678248,0746,"f523b4e4b070a170f63e9bb6965fca3764751aa9","v0.0.490","BN-VGG-19b","1409.1556","in1k",224,0.875,200,NA
"bninception",11295240,0774,"d79ba5f573ba2da5fea5e4c9a7f67ddd526e234b","v0.0.405","BN-Inception","1502.03167","in1k",224,0.875,200,NA
"resnet10",5418792,1253,"88a5961b62448ef51d57e749675cdb097695a634","v0.0.569","ResNet-10","1512.03385","in1k",224,0.875,200,NA
"resnet12",5492776,1223,"84a43cf672c708a016dd1142ca1a23c278931532","v0.0.485","ResNet-12","1512.03385","in1k",224,0.875,200,NA
"resnet14",5788200,1109,"b3132cbfb7d64ae83b1cd2e3954f4c5b1180fd7b","v0.0.491","ResNet-14","1512.03385","in1k",224,0.875,200,NA
"resnetbc14b",10064936,1074,"14b1fd95d8b7964c0e7c6eba22f6f58db03d3df0","v0.0.481","ResNet-BC-14b","1512.03385","in1k",224,0.875,200,NA
"resnet16",6968872,1009,"4352d6a91d6e28aa839f741006a5a41cfa62bfd6","v0.0.493","ResNet-16","1512.03385","in1k",224,0.875,200,NA
"resnet18_wd4",3937400,1785,"fe79b31f56e7becab9c014dbc14ccdb564b5148f","v0.0.262","ResNet-18 x0.25","1512.03385","in1k",224,0.875,200,NA
"resnet18_wd2",5804296,1327,"6654f50ad357f4596502b92b3dca2147776089ac","v0.0.263","ResNet-18 x0.5","1512.03385","in1k",224,0.875,200,NA
"resnet18_w3d4",8476056,1106,"3636648b504e1ba134947743eb34dd0e78feda02","v0.0.266","ResNet-18 x0.75","1512.03385","in1k",224,0.875,200,NA
"resnet18",11689512,0896,"77a56f155214819bfc79ff09795370f955b20e6d","v0.0.478","ResNet-18","1512.03385","in1k",224,0.875,200,NA
"resnet26",17960232,0849,"4bfbc640f218e0eaf4c380cfdb98d55f259862d6","v0.0.489","ResNet-26","1512.03385","in1k",224,0.875,200,NA
"resnetbc26b",15995176,0797,"7af52a73b234dc56ab4b0757cf3ea772d0699622","v0.0.313","ResNet-BC-26b","1512.03385","in1k",224,0.875,200,NA
"resnet34",21797672,0780,"3f775482a327e5fc4850fbb77785bfc55e171e5f","v0.0.291","ResNet-34","1512.03385","in1k",224,0.875,200,NA
"resnetbc38b",21925416,0700,"3fbac61d86810d489988a92f425f1a6bfe46f155","v0.0.328","ResNet-BC-38b","1512.03385","in1k",224,0.875,200,NA
"resnet50",25557032,0633,"b00d1c8e52aa7a2badc705b1545aaf6ccece6ce9","v0.0.329","ResNet-50","1512.03385","in1k",224,0.875,200,NA
"resnet50b",25557032,0638,"8a5473ef985d65076a3758117ad5700d726bd952","v0.0.308","ResNet-50b","1512.03385","in1k",224,0.875,200,NA
"resnet101",44549160,0540,"65faf44721096a75fa72b875efb416513f864078","v0.0.499","ResNet-101","1512.03385","in1k",224,0.875,200,NA
"resnet101b",44549160,0530,"f059ba3c7fa4a65f2da6e17f3718662d59836637","v0.0.357","ResNet-101b","1512.03385","in1k",224,0.875,200,NA
"resnet152",60192808,0468,"d46977ddb5660bb523e9f2de50e5d16cef8e3027","v0.0.518","ResNet-152","1512.03385","in1k",224,0.875,200,NA
"resnet152b",60192808,0445,"2f420307673264444e8457e2050b5d6b131002d7","v0.0.517","ResNet-152b","1512.03385","in1k",224,0.875,200,NA
"resnet200",64673832,NA,NA,NA,"ResNet-200","1512.03385","in1k",224,0.875,200,NA
"resnet200b",64673832,NA,NA,NA,"ResNet-200b","1512.03385","in1k",224,0.875,200,NA
"preresnet10",5417128,1421,"b3973cd4461287d61df081d6f689d293eacf2248","v0.0.249","PrepResNet-10","1603.05027","in1k",224,0.875,200,NA
"preresnet12",5491112,1348,"563066fa8fcf8b5f19906b933fea784965d68192","v0.0.257","PreResNet-12","1603.05027","in1k",224,0.875,200,NA
"preresnet14",5786536,1239,"4be725fd3f06c99c46817fce3b69caf2ebc62414","v0.0.260","PreResNet-14","1603.05027","in1k",224,0.875,200,NA
"preresnetbc14b",10057384,1181,"a68d31c372e647474ae954e51e5bc2ba9fb3f166","v0.0.315","PreResNet=BC-14b","1603.05027","in1k",224,0.875,200,NA
"preresnet16",6967208,1108,"06d8c87e29284dac19a9019485e210541532411a","v0.0.261","PreResNet-16","1603.05027","in1k",224,0.875,200,NA
"preresnet18_wd4",3935960,1811,"41135c15210390e9a564b14e8ae2ebda1a662ec1","v0.0.272","PreResNet-18 x0.25","1603.05027","in1k",224,0.875,200,NA
"preresnet18_wd2",5802440,1340,"c1fe4e314188eeb93302432d03731a91ce8bc9f2","v0.0.273","PreResNet-18 x0.5","1603.05027","in1k",224,0.875,200,NA
"preresnet18_w3d4",8473784,1105,"ed2f9ca434b6910b92657eefc73ad186396578d5","v0.0.274","PreResNet-18 x0.75","1603.05027","in1k",224,0.875,200,NA
"preresnet18",11687848,0972,"5651bc2dbb200382822a6b64375d240f747cc726","v0.0.140","PreResNet-18","1603.05027","in1k",224,0.875,200,NA
"preresnet26",17958568,0851,"99e7d6cc5944cd7cf6d4746e6fdf18b477d3d9a0","v0.0.316","PreResNet-26","1603.05027","in1k",224,0.875,200,NA
"preresnetbc26b",15987624,0803,"d7283bdd70e1b75520fe2cdcc273d51715e077b4","v0.0.325","PreResNet-BC-26b","1603.05027","in1k",224,0.875,200,NA
"preresnet34",21796008,0774,"fd5bd1e883048e29099768465df2dd9e891803f4","v0.0.300","PreResNet-34","1603.05027","in1k",224,0.875,200,NA
"preresnetbc38b",21917864,0657,"9e523bb92dc592ee576a6bb73a328dc024bdc967","v0.0.348","PreResNet-BC-38b","1603.05027","in1k",224,0.875,200,NA
"preresnet50",25549480,0647,"222ca73b021f893b925c15e24ea2a6bc0fdf2546","v0.0.330","PreResNet-50","1603.05027","in1k",224,0.875,200,NA
"preresnet50b",25549480,0655,"8b60378ee3aed878d27a2b4a9ddc596a812c7649","v0.0.307","PreResNet-50b","1603.05027","in1k",224,0.875,200,NA
"preresnet101",44541608,0563,"8ec82f7d697b7329aea2c95b399093e9cb2b1114","v0.0.504","PreResNet-101","1603.05027","in1k",224,0.875,200,NA
"preresnet101b",44541608,0556,"76bfe6d020b55f163e77de6b1c27be6b0bed8b7b","v0.0.351","PreResNet-101b","1603.05027","in1k",224,0.875,200,NA
"preresnet152",60185256,0464,"baeb6c5208310ab7c919fc0da3c20267471a8fa1","v0.0.510","PreResNet-152","1603.05027","in1k",224,0.875,200,NA
"preresnet152b",60185256,0459,"42c9fbcfe4e92463497fa4c2d0b007a191c6c043","v0.0.523","PreResNet-152b","1603.05027","in1k",224,0.875,200,NA
"preresnet200",64666280,NA,NA,NA,"PreResNet-200","1603.05027","in1k",224,0.875,200,NA
"preresnet200b",64666280,0468,"f82215f3a5616098e8172a85bb42071f1823a27d","v0.0.529","PreResNet-200b","1603.05027","in1k",224,0.875,200,NA
"preresnet269b",102065832,0527,"f38eca01ea8cf43d6e6fecf1fe6b1a6cd5725cb2","v0.0.545","PreResNet-269b","1603.05027","in1k",224,0.875,200,NA
"resnext14_16x4d",7127336,1248,"35ffac2a26374e71b6bf4bc9f90b7a1a1dd47e7d","v0.0.370","ResNeXt-14 (16x4d)","1611.05431","in1k",224,0.875,200,NA
"resnext14_32x2d",7029416,1281,"14521186b8c78c7c07f3904360839f22c180f65e","v0.0.371","ResNeXt-14 (32x2d)","1611.05431","in1k",224,0.875,200,NA
"resnext14_32x4d",9411880,1146,"89aa679393d8356ce5589749b4371714bf4ceac0","v0.0.327","ResNeXt-14 (32x4d)","1611.05431","in1k",224,0.875,200,NA
"resnext26_16x4d",10119976,NA,NA,NA,"ResNeXt-26 (16x4d)","1611.05431","in1k",224,0.875,200,NA
"resnext26_32x2d",9924136,0887,"c3bd130747909a8c89546f3b3f5ce08bb4f55731","v0.0.373","ResNeXt-26 (32x2d)","1611.05431","in1k",224,0.875,200,NA
"resnext26_32x4d",15389480,0746,"1011ac35e30d753b79f0600a5376c87a37b67a61","v0.0.332","ResNeXt-26 (32x4d)","1611.05431","in1k",224,0.875,200,NA
"resnext38_32x4d",21367080,NA,NA,NA,"ResNeXt-38 (32x4d)","1611.05431","in1k",224,0.875,200,NA
